CompanyName/ContactName,Address,Address2,City,State,PostalCode,Phone,EMail,Payee,Date,CheckNumber,Amount,RoutingNumber,AccountNumber,batch_id,Notes,Memo
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,123456789,2147483647,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,123456789,2147483647,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,23232.00,,0,150514-1,,
"Payor Test Sedanos","9245 SW 56 ST",,Miami,FL,33154,305-963-2030,yoaforever1@gmail.com,Sedanos,11/30/-0001,,434.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,4545.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,5566.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,1111.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,45.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,67.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,123456789,2147483647,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,44.00,,0,150514-1,,
