CompanyName/ContactName,Address,Address2,City,State,PostalCode,Phone,EMail,Payee,Date,CheckNumber,Amount,RoutingNumber,AccountNumber,batch_id,Notes,Memo
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,123456789,2147483647,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,123456789,2147483647,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
"Payor Test Sedanos","9245 SW 56 ST",,Miami,FL,33154,305-963-2030,yoaforever1@gmail.com,Sedanos,11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,123456789,2147483647,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,,0,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,123456789,2147483647,150514-2,,
Sedanos,"97 Ave 24st Coral Way",,,FL,33165,786-456-1230,sattarpatan@gmail.com,"Sedanos Biller Company",11/30/-0001,,2.00,123456789,2147483647,150514-2,,
